region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ydre,67,-49,241,292,274,952,691,152,117,56,-1030,-2102,-540,-1108,-443,-1929,469,978,1488,1029,661,532,1813,3146
Kinda,749,57,-111,382,358,-671,-1235,329,2115,1468,428,883,1147,573,2291,501,252,2006,2464,1355,468,-1118,2209,5359
Boxholm,460,27,1989,1021,869,1155,106,499,281,22,-843,-318,1711,749,140,203,1159,2445,1563,838,101,-2613,2694,303
Atvidaberg,658,-2221,-179,287,-136,-554,-2033,-125,900,-9119,2312,2545,1901,1174,415,1964,473,1982,3459,2129,1581,1066,3644,5023
Finspang,-397,-380,-289,1085,291,162,-60,914,1706,637,-1029,141,1346,-144,1102,1524,83,192,3525,1061,1033,595,1556,2788
Valdemarsvik,-1451,-801,-699,656,148,-1,-5347,564,180,219,-653,200,-184,1005,1680,-124,-358,2172,4135,1100,-1285,-2369,2157,3467
Linkoping,431,259,552,787,-10,33,-300,827,27850,10993,858,2555,1599,34,2661,3823,1232,707,33,1264,1308,-99,3107,5762
Norrkoping,-56,9415,11105,294,-216,7,143,775,2741,12454,578,2154,1376,1946,1062,1017,214,1616,1429,2795,3373,2630,4844,6974
Soderkoping,50,131,510,841,124,-687,-1135,744,1570,-9062,1637,1246,2309,1883,924,2279,467,683,924,608,-23,-490,1796,578
Motala,1587,-464,684,394,-33,-1060,17,1063,1528,933,800,722,1035,1315,1834,1465,-216,108,1417,1434,-462,385,1485,1412
Vadstena,196,-693,301,725,191,238,-598,286,1152,459,1672,1281,609,699,2521,1985,569,831,2147,2051,1231,28925,2717,1635
Mjolby,-315,-369,-29,104,128,563,-727,539,1374,685,389,513,606,1321,1347,-325,1478,1779,3238,2571,418,226,2592,4120
Aneby,-2243,-1602,-848,-3238,132,119,186,85,913,504,1052,535,536,312,1900,2437,1344,1320,3902,631,188,-195,1489,2499
Gnosjo,1358,380,974,1055,778,497,32,-652,673,-209,-440,1236,1526,1370,193,760,-568,-366,1530,2079,-395,-1983,1211,3583
Mullsjo,-1118,-6762,-94,-1768,494,720,58,-199,-470,-168,10,1169,1364,1384,1054,668,1272,522,474,-2344,-1155,-839,2831,2517
Habo,-1236,305,550,88,-989,-75,1287,1544,1043,646,422,1647,1638,197,156,1549,212,1133,1892,2100,1896,2181,4026,7495
Gislaved,-195,105,1846,1024,499,-286,292,554,1349,500,680,1341,865,1106,412,1120,370,851,2051,1204,163,406,4484,3966
Vaggeryd,607,189,4133,1505,1579,60,-350,868,1050,1326,462,794,1551,69,1340,531,-523,368,3028,645,1828,1137,3457,4326
Jonkoping,-3674,-816,782,469,455,44,1073,1241,1782,1200,1307,2213,1075,792,1428,1696,395,993,1982,1897,1971,1968,2359,4553
Nassjo,-239,-1162,72,5454,339,111,4,422,395,529,411,1214,690,568,1570,163,-346,854,1409,230,-2062,67,1934,1817
Varnamo,565,447,1451,836,1138,-174,162,1737,1930,1104,1045,1033,2031,1835,587,1447,207,845,2948,2114,445,231,2446,3174
Savsjo,-1442,-3789,-800,1627,-101,435,-410,1290,630,4,-110,1129,1558,930,771,2493,1026,808,2669,3768,2553,1486,2824,4105
Vetlanda,-482,-232,341,351,3526,170,-1301,999,913,-229,56,958,2364,2024,2054,951,570,655,704,634,-944,1065,4101,5171
Eksjo,-605,-2076,305,281,1340,275,99,414,1271,805,471,1279,755,423,421,1125,1080,1205,2281,-1491,-554,1306,2691,4003
Tranas,-556,-1325,404,-75,8205,367,-1,836,1836,977,911,1328,2112,995,996,1934,1618,1572,945,40,-488,-1748,2368,2406
Uppvidinge,3552,-527,-882,-849,-1287,-532,-855,871,1272,1766,1028,525,649,1568,2005,1191,-55,542,954,-382,-2698,-1969,3762,2002
Lessebo,-227,837,-2698,32,-1436,1059,417,-2784,144,248,-1906,1152,830,-1101,1609,-5583,2679,2861,5851,4885,-1188,1014,2405,4638
Tingsryd,-757,-2000,400,245,57,-543,-503,513,1006,839,58,1066,1504,551,1027,502,316,-479,2941,1926,1389,-313,3451,4837
Alvesta,439,-961,-452,-457,425,125,-1012,956,768,1154,-788,1664,3343,767,4318,1078,83,101,3078,2644,1263,2225,1936,5383
